benchmark,hostname,num_procs,oversubscribed,avg_time,std_dev
all_to_all, Aureolin, 4, 0, 7.184158e-06, 1.265036e-06
all_to_all, Aureolin, 4, 0, 6.986771e-06, 1.134030e-06
all_to_all, Aureolin, 4, 0, 7.570586e-06, 1.925881e-06
all_to_all, Aureolin, 4, 0, 7.795419e-06, 1.880813e-06
all_to_all, Aureolin, 4, 0, 7.575301e-06, 2.153833e-06
all_to_all, Aureolin, 4, 0, 7.959799e-06, 2.019956e-06
all_to_all, Aureolin, 4, 0, 7.300142e-06, 1.996000e-06
all_to_all, Aureolin, 4, 0, 7.531249e-06, 1.256366e-06
all_to_all, Aureolin, 6, 0, 1.496416e-05, 2.497748e-06
all_to_all, Aureolin, 6, 0, 1.610167e-05, 2.727460e-06
all_to_all, Aureolin, 6, 0, 1.447392e-05, 1.823924e-06
all_to_all, Aureolin, 6, 0, 1.543719e-05, 2.885029e-06
all_to_all, Aureolin, 6, 0, 1.578544e-05, 2.100875e-06
all_to_all, Aureolin, 6, 0, 1.737470e-05, 3.303512e-06
all_to_all, Aureolin, 6, 0, 1.612956e-05, 4.051136e-06
all_to_all, Aureolin, 6, 0, 1.655595e-05, 2.291137e-06
all_to_all, Aureolin, 6, 0, 1.660603e-05, 2.596188e-06
all_to_all, Aureolin, 6, 0, 1.584587e-05, 2.873439e-06
all_to_all, Aureolin, 6, 0, 1.440037e-05, 1.640240e-06
all_to_all, Aureolin, 6, 0, 1.424134e-05, 2.417890e-06
all_to_all, Aureolin, 6, 0, 1.618419e-05, 1.609007e-06
all_to_all, Aureolin, 6, 0, 1.550746e-05, 1.692490e-06
all_to_all, Aureolin, 6, 0, 1.370583e-05, 1.103723e-06
all_to_all, Aureolin, 6, 0, 1.491286e-05, 3.574292e-06
all_to_all, Aureolin, 8, 0, 1.834464e-05, 4.060437e-06
all_to_all, Aureolin, 8, 0, 2.528244e-05, 3.364758e-06
all_to_all, Aureolin, 8, 0, 2.604549e-05, 3.054475e-06
all_to_all, Aureolin, 8, 0, 2.576474e-05, 2.894661e-06
all_to_all, Aureolin, 8, 0, 2.610507e-05, 2.958778e-06
all_to_all, Aureolin, 8, 0, 2.587992e-05, 2.858288e-06
all_to_all, Aureolin, 8, 0, 2.552260e-05, 2.717195e-06
all_to_all, Aureolin, 8, 0, 2.557587e-05, 2.352242e-06
all_to_all, Aureolin, 8, 0, 2.590335e-05, 3.161091e-06
all_to_all, Aureolin, 8, 0, 2.612380e-05, 3.210058e-06
all_to_all, Aureolin, 8, 0, 2.592991e-05, 2.942086e-06
all_to_all, Aureolin, 8, 0, 2.569390e-05, 2.972997e-06
all_to_all, Aureolin, 8, 0, 2.608942e-05, 3.571628e-06
all_to_all, Aureolin, 8, 0, 2.550440e-05, 2.787648e-06
all_to_all, Aureolin, 8, 0, 2.636723e-05, 3.522138e-06
all_to_all, Aureolin, 8, 0, 2.612298e-05, 2.959984e-06
all_to_all, Aureolin, 8, 0, 2.599559e-05, 3.295011e-06
all_to_all, Aureolin, 16, 1, 8.278208e-05, 1.472527e-05
all_to_all, Aureolin, 16, 1, 7.939273e-05, 5.226897e-06
all_to_all, Aureolin, 16, 1, 7.900187e-05, 5.994155e-06
all_to_all, Aureolin, 16, 1, 8.005511e-05, 5.592659e-06
all_to_all, Aureolin, 16, 1, 7.876744e-05, 5.773461e-06
all_to_all, Aureolin, 16, 1, 7.940697e-05, 6.050766e-06
all_to_all, Aureolin, 16, 1, 7.939548e-05, 6.000735e-06
all_to_all, Aureolin, 16, 1, 7.897084e-05, 5.977805e-06
all_to_all, Aureolin, 16, 1, 7.871013e-05, 5.103532e-06
all_to_all, Aureolin, 16, 1, 7.836250e-05, 4.836894e-06
all_to_all, Aureolin, 16, 1, 8.020424e-05, 7.197554e-06
all_to_all, Aureolin, 16, 1, 7.974175e-05, 4.968434e-06
all_to_all, Aureolin, 16, 1, 7.931713e-05, 5.676978e-06
all_to_all, Aureolin, 16, 1, 7.956110e-05, 5.538617e-06
all_to_all, Aureolin, 16, 1, 7.947136e-05, 5.923425e-06
all_to_all, Aureolin, 16, 1, 7.960728e-05, 6.251409e-06
all_to_all, Aureolin, 24, 1, 1.197270e-03, 3.466758e-04
all_to_all, Aureolin, 24, 1, 1.063582e-03, 2.357712e-04
all_to_all, Aureolin, 24, 1, 8.686678e-04, 1.540747e-04
all_to_all, Aureolin, 24, 1, 8.190916e-04, 8.455076e-05
all_to_all, Aureolin, 24, 1, 8.808680e-04, 9.574032e-05
all_to_all, Aureolin, 24, 1, 8.607658e-04, 1.384282e-04
all_to_all, Aureolin, 32, 1, 2.240166e-03, 2.472879e-04
all_to_all, Aureolin, 32, 1, 1.860877e-03, 4.799535e-04
all_to_all, Aureolin, 32, 1, 1.323111e-03, 1.780498e-04
all_to_all, Aureolin, 32, 1, 1.296139e-03, 1.281588e-04
all_to_all, Aureolin, 32, 1, 9.640674e-04, 5.092962e-04
all_to_all, Aureolin, 32, 1, 4.780317e-04, 2.342602e-04
all_to_all, Aureolin, 32, 1, 5.639515e-04, 3.251358e-04
all_to_all, Aureolin, 32, 1, 7.768768e-04, 7.468065e-04
count_primes, Aureolin, 1, 0, 7.930428e-05, 2.009684e-06
count_primes, Aureolin, 1, 0, 7.755499e-05, 1.199877e-06
count_primes, Aureolin, 1, 0, 7.806481e-05, 2.031604e-06
count_primes, Aureolin, 1, 0, 7.831148e-05, 1.623615e-06
count_primes, Aureolin, 1, 0, 7.868909e-05, 1.976073e-06
